Item;Cod;Nome;Un; Custo Unitário
001.03.22;20013;Retirada de esquadria com aproveitamento;M2;6,77
001.03.23;21528;Retirada de esquadria metálica;M2;6,4
001.03.24;20014;Retirada de esquadria sem aproveitamento;M2;3,39
001.03.25;20861;Retirada de forro de gesso (incl. barroteamento);M2;3,5
001.03.26;20015;Retirada de forro em mad., incl. barroteamento;M2;4,77
001.03.27;21534;Retirada de forro em PVC, incl. barroteamento;M2;3,58
001.03.28;21527;Retirada de grade de ferro;M2;13,55
001.03.29;20853;Retirada de lambrequim;M;1,19
001.03.30;20854;Retirada de lambri de madeira;M2;11,45
001.03.31;21526;Retirada de louça sanitária;UN;23,87
001.03.32;20855;Retirada de luminárias;UN;9,54
001.03.33;20856;Retirada de mictório aço inox;UN;29,84
001.03.34;20862;Retirada de pilar de madeira;UN;26,82
001.03.35;20677;Retirada de pintura (c/ escova de aço);M2;3,42
001.03.36;20235;Retirada de piso ceramico, inclusive camada regularizadora;M2;4,55
001.03.37;20628;Retirada de piso cimentado;M2;4,97
001.03.38;20221;Retirada de piso em taco de madeira;M2;5,01
001.03.39;20023;Retirada de piso incl. camada impermeabilizadora;M2;7,78
001.03.40;20408;Retirada de piso vinilico;M2;2,83
001.03.41;21529;Retirada de ponto de água/esgoto;Pt;12,32
001.03.42;20857;Retirada de ponto elétrico;Pt;9,54
001.03.43;20019;Retirada de reboco ou emboço;M2;3,42
001.03.44;20021;Retirada de revestimento cerâmico;M2;3,42
001.03.45;21530;Retirada de rodapé cerâmico;M;2
001.03.46;21535;Retirada de Rodapé em Granito;M2;2
001.03.47;20863;Retirada de rodapé em madeira;M;1
001.03.48;21536;Retirada de rodapé em piso de alta resistência;M2;2,5
001.03.49;20864;Retirada de soleira e peitoril;M2;10,45
001.03.50;20858;Retirada de telha de fibrocimento com aproveitamento;M2;7,18
001.03.51;20307;Retirada de telhas de barro;M2;5,7
001.03.52;20024;Retirada de telhas fibrocimento sem aproveitamento;M2;2,38
001.03.53;20859;Retirada de válvula Hydra;UN;14,33
001.03.54;20860;Retirada de ventilador de teto;UN;16,71
001.03.55;20022;Retirada Divisórias em paineis div. em mad.compens.incl.entarugamento;M2;6,77
001.04;;MOVIMENTO DE TERRA:;;
001.04.01;30011;Aterro c/ material fora da obra, incl. apiloamento;M3;71,97
001.04.02;30010;Escavação manual ate 1.50m de profundidade;M3;30,03
001.04.03;30673;Escavação manual p/ tubulao a ceu aberto;M3;190,96
001.04.04;30675;Escavação mecanizada;M3;7,22
001.04.05;30254;Reaterro compactado;M3;33,22
001.05;;FUNDAÇÕES:;;
001.05.01;40026;Baldrame em conc.ciclópico c/pedra preta incl.forma;M3;776,37
001.05.02;40285;Baldrame em conc.simples c/seixo incl.forma mad.br.;M3;901,56
001.05.03;40284;Baldrame em concreto armado c/ cinta de amarração;M3;1575,54
001.05.04;40283;Bloco em concreto armado p/ fundaçao (incl. forma);M3;1668,84
001.05.05;41332;Estaca de concreto 20x20cm (incl. cravaçao);M;120
001.05.06;41331;Estaca de concreto 25x25cm (incl. cravaçao);M;160
001.05.07;41333;Estaca de concreto 30x30cm (incl. cravaçao);M;225
001.05.08;41491;Estaca helice de diametro 30cm;M;146,97
001.05.09;41492;Estaca helice de diametro 40cm;M;187,79
001.05.10;41493;Estaca helice de diametro 50 cm;M;242,06
001.05.11;41494;Estaca helice de diametro 60 cm;M;335,15
001.05.12;41495;Estaca helice de diametro 80 cm;M;527,33
001.05.13;41472;Estaca raiz - 20cm;M;150
001.05.14;41473;Estaca raiz - 25cm;M;185
001.05.15;41490;Estaca raiz - 30cm;M;220
001.05.16;40025;Fundação corrida/bloco c/pedra preta arg.no traço 1:8;M3;366,93
001.05.17;50257;Lastro de concreto magro c/ seixo;M3;407,29
001.05.18;41496;Mobilização e desmobilização de equipamentos para estaca hélice contínua;UN;10000
001.05.19;40222;Tubulão a céu aberto-concreto Fck=20MPA - cintado;M3;802,26
001.06;;ESTRUTURA:;;
001.06.01;;--> CONCRETO:;;
001.06.01.01;50040;Concreto armado Fck=13.5 MPA c/ forma aparente - 1 reaproveitamento;M3;1805
001.06.01.02;50039;Concreto armado Fck=13.5 MPA c/forma em mad. branca;M3;1762,04
001.06.01.03;50681;Concreto armado Fck=15 MPA c/forma mad. branca;M3;1767,09
001.06.01.04;50267;Concreto armado Fck=18 MPA c/ forma mad. branca;M3;1781,51
001.06.01.05;50282;Concreto armado Fck=18 MPA com forma aparente - 1 reaproveitamento;M3;1824,47
001.06.01.06;50729;Concreto armado fck=20MPA c/ forma mad. branca;M3;1793,24
001.06.01.07;51171;Concreto armado FCK=20MPA com forma aparente - 1 reaproveitamento;M3;1836,2
001.06.01.08;50766;Concreto armado fck=25MPA c/ forma mad. branca;M3;1812,16
001.06.01.09;51172;Concreto armado FCK=25MPA com forma aparente - 1 reaproveitamento;M3;1855,12
001.06.01.10;51287;Concreto armado FCK=30MPA c/ forma aparente - 1 reaproveitamento;M3;1874,31
001.06.01.11;51286;Concreto armado FCK=30MPA c/ forma madeira branca;M3;1831,35
001.06.01.12;51300;Concreto armado FCK=35MPA c/ forma aparente - 1 Reaproveitamento;M3;1875,18
001.06.01.13;50757;Concreto armado p/ calhas e percintas;M3;2100,88
001.06.01.14;50353;Concreto armado p/ rufos;M3;918,64
001.06.01.15;50511;Concreto c/ seixo e aditivo imperm. Fck = 13,5 MPA(incl preparo e lançamento);M3;519,83
001.06.01.16;50034;Concreto c/ seixo Fck= 13.5 MPA (incl. preparo e lançamento);M3;476,28
001.06.01.17;50258;Concreto c/ seixo Fck= 15 MPA (incl. preparo e lançamento);M3;481,33
001.06.01.18;50260;Concreto c/ seixo Fck= 18.0 MPA (incl. preparo e lançamento);M3;495,75
001.06.01.19;50259;Concreto c/ seixo Fck= 20 MPA (incl. preparo e lançamento);M3;507,48
001.06.01.20;50740;Concreto c/ seixo Fck= 25MPA (incl. preparo e lançamento);M3;526,4
001.06.01.21;50736;Concreto c/ seixo FCK=30 MPA (incl. preparo e lançamento);M3;545,59
001.06.01.22;50196;Concreto ciclópico c/ pedra preta;M3;382,29
001.06.01.23;51450;Concreto usinado bombeado de 25MPA;M3;495,46
001.06.01.24;51451;Concreto usinado bombeado de 30MPA;M3;520,96
001.06.01.25;51452;Concreto usinado bombeado de 35MPA;M3;546,46
001.06.01.26;51453;Concreto usinado bombeado de 40MPA;M3;592,36
001.06.01.27;50713;Laje pré-moldada (incl. capeamento);M2;77,31
001.06.01.28;50771;Laje pré-moldada treliçada (Incl. capiamento);M2;114,31
001.06.01.29;51455;Protensão de cordoalha de 12,7mm;KG;29,48
001.06.01.30;51460;Protensão de cordoalha de 15,2mm;KG;31,38
001.06.02;;--> FORMA / ARMAÇÃO / CIMBRAMENTO:;;
001.06.02.01;50038;Armação p/ concreto;KG;6,22
001.06.02.02;11294;Cimbramento de madeira p/ h até 3,00 m;M2;51,08
001.06.02.03;11217;Cimbramento metálico com altura até 3,50m;M²/Mê;46,85
001.06.02.04;50037;Desforma;M2;3
001.06.02.05;50036;Forma  c/ madeira branca;M2;62,68
001.06.02.06;50281;Forma para concreto em chapa mad. compensada-Estruturas especiais;M2;97,44
001.06.02.07;50043;Formas para concreto em chapa de madeira compensada plastificada e=15mm (REAP 2x);M2;47,18
001.06.02.08;50041;Formas para concreto em chapa de madeira compensada resinada e=15mm (REAP 1x);M2;66,26
001.06.02.09;50035;Formas para concreto em chapa de madeira compensada resinada e=15mm (REAP 2x);M2;42,61
001.06.03;;--> PILARES:;;
001.06.03.01;50225;Pilar em mad. de lei 20x20cm(incl.bl.conc.ciclópico);UN;375,75
001.06.03.02;50217;"Pilar em mad. de lei 4""x4""(incl.bl.conc.ciclópico)";UN;164,89
001.06.03.03;50216;"Pilar em mad. de lei 6""x6""(incl.bl.conc.ciclópico)";UN;271,55
001.06.03.04;50219;"Pilar em mad. de lei 8""x4""(incl.bl.conc.ciclópico)";UN;231,45
001.06.03.05;50055;Pilar em mad.de lei tipo sanduíche(incl.chumb/bl.concr.ciclópico);UN;352,43
001.07;;PAREDES E PAINEIS:;;
001.07.01;60187;Alvenaria bloco de cimento maciço;M2;63,85
001.07.02;60660;Alvenaria de elevação c/bloco de vidro 20x20x10cm;M2;453,77
001.07.03;60498;Alvenaria de tijolo refratário (11,4 x 2,5 x 22,9cm);M2;516,24
001.07.04;60256;Alvenaria em pedra preta argamassada;M3;398,93
001.07.05;60247;Alvenaria estrutural articulada armada;M2;159,66
001.07.06;60046;Alvenaria tijolo de barro a cutelo;M2;41,38
001.07.07;60045;Alvenaria tijolo de barro a singelo;M2;55,9
001.07.08;60043;Cobogó de cimento 20x20x10cm;M2;166,96
001.07.09;60661;Cobogó de vidro 10x10x20cm;M2;988,57
001.07.10;61356;Divisória de MDF c/ laminado;M2;106,91
001.07.11;61355;Divisória de PVC;M2;169,91
001.07.12;61359;Divisória Divilux pefil alumínio / miolo celular -P/V/P;M2;115,91
001.07.13;61352;Divisória Divilux perfil em aluminio/miolo celular (painel cego);M2;95,91
001.07.14;61459;Divisória em gesso acartonado acústica e=9cm;M2;126,68
001.07.15;61460;Divisória em gesso acartonado acústico e=11cm;M2;135,89
001.07.16;61354;Divisória em gesso acartonado e= 7cm;M2;88,66
001.07.17;61357;Divisória em gesso acartonado e= 9cm;M2;93,39
001.07.18;61358;Divisória em gesso acartonado e=11cm;M2;103,79
001.07.19;61502;Divisória em gesso acartonado Painéis duplos W112;M2;124,43
001.07.20;60813;Divisória em granito cinza - incl. ferrag. de fixação;M2;458,74
001.07.21;60812;Divisória em granito preto - Incl. ferragens de fixação;M2;458,74
001.07.22;61461;Divisória em MDF sem laminado;M2;82,91
001.07.23;61353;Divisória naval perfil em aço/miolo celular;M2;85,91
001.07.24;60659;Elemento vazado 1/2 tijolo 13x10x8cm;M2;109,5
001.07.25;60212;Elemento vazado 1/2 tijolo 15x15x10cm;M2;89,62
001.07.26;61088;Elemento vazado pré-moldado 40x40x7cm;M2;118,61
001.07.27;70739;Fechamento de empena com veneziana em mad.de lei;M2;266,87
001.07.28;60597;"Fechamento de vão c/ tela fo go fio 10 # 2""";M2;324,81
001.07.29;60702;Painel - tipo Reynobond (Incl. estrutura em metalon);M2;487,6
001.07.30;61458;Painel em ACM - Estruturado (fachadas);M2;311,98
001.07.31;60183;Painel em ch.compens. c/ laminado melaminico (c/ estrut. mad.);M2;187,57
001.07.32;60184;Painel em ch.compens. c/ laminado melaminico 2 lados (c/estru mad.);M2;257,85
001.07.33;60185;Painel em ch.compens. Duraplac (c/estrut. mad.);M2;129,69
001.07.34;60186;Painel em ch.compens. e=10mm (c/ estrut. mad.);M2;108,91
001.07.35;60351;Painel em tabuas macheadas - 1 face;M2;56,84
001.07.36;60215;Parede em madeira de lei revestida 2 faces;M2;115,76
001.07.37;61501;Placa cimentícia c/ verniz de acabamento (incl. acessórios de fixação);M2;97,01
001.07.38;61087;Recomposição de alvenaria - Instalação de pontos;M2;33,2
001.08;;COBERTURA:;;
001.08.01;;--> ESTRUTURA:;;
001.08.01.01;70308;Encaibramento e ripamento;M2;35,52
001.08.01.02;70052;Estrutura em mad. lei p/ telha de barro - pç. serrada;M2;60,1
001.08.01.03;70051;Estrutura em mad. lei p/ telha de barro - pç.aparelhada;M2;66,49
001.08.01.04;70053;Estrutura em mad.p/ chapa fibrocimento - pc. aparelhada;M2;41,95
001.08.01.05;70054;Estrutura em mad.p/ chapa fibrocimento - pc. serrada;M2;37,55
001.08.01.06;70736;Estrutura em madeira de lei p/telha asfaltica - pc. aparelhada;M2;66,2
001.08.01.07;70735;Estrutura em madeira de lei p/telha asfaltica - pc. serrada;M2;59,5
001.08.01.08;71360;Estrutura metálica p/ cobertura - (Incl. pintura anti-corrosiva);KG;12,88
001.08.01.09;71361;Estrutura metálica p/ cobertura - 2 águas-vão 20m;M2;134,34
001.08.01.10;71362;Estrutura metálica p/ cobertura - 2 águas-vão 30m;M2;141,08
001.08.01.11;71495;Estrutura metálica p/ cobertura - 2 águas-vão 40m;M2;147,01
001.08.01.12;71492;Estrutura metálica p/ cobertura em arco-vão 20m;M2;122,76
001.08.01.13;71493;Estrutura metálica p/ cobertura em arco-vão 30m;M2;130,2
001.08.01.14;71494;Estrutura metálica p/ cobertura em arco-vão 40m;M2;136,83
001.08.01.15;70827;Lambrequim de madeira de lei aparelhada;M;30,78
001.08.01.16;70614;Mão francesa em mad. de lei (padrao SEDUC);UN;175,25
001.08.01.17;70510;Ripamento;M2;15,64
001.08.01.18;70785;Ripamento para sub cobertura (manta);M2;21,36
001.08.01.19;70195;Tesoura em mad. de lei p/ vao de  6.0m;UN;841,14
001.08.01.20;70194;Tesoura em mad. de lei p/ vao de  8.0m;UN;1236,69
001.08.01.21;70193;Tesoura em mad. de lei p/ vao de 12.0m;UN;2173,54
001.08.02;;--> TELHAMENTO:;;
001.08.02.01;70030;Cobertura - telha aluminio trapezoidal e= 0,5mm;M2;45,29
001.08.02.02;70711;Cobertura - telha asfáltica;M2;59,96
001.08.02.03;70708;Cobertura - telha de aluminio ondulada e=0,5mm;M2;46,97
001.08.02.04;70049;Cobertura - telha de barro paulista ou planatex;M2;56,62
001.08.02.05;71498;Cobertura - Telha de fibrocimento e=4mm;M2;37,3
001.08.02.06;70047;Cobertura - telha de fibrocimento e=6mm;M2;49,09
001.08.02.07;70169;Cobertura - telha de fibrocimento e=8mm;M2;48,99
001.08.02.08;70172;Cobertura - telha de vidro;M2;843,11
001.08.02.09;71465;Cobertura - telha em aço galvanizado e=0,5mm;M2;37,48
001.08.02.10;70057;Cobertura - telha fibrotex e=4mm;M2;24,87
001.08.02.11;70048;Cobertura - telha kalhetao e=8mm;M2;176,16
001.08.02.12;70056;Cobertura - telha maxiplac e= 6mm;M2;76,45
001.08.02.13;70058;Cobertura - telha plan;M2;46,75
001.08.02.14;70675;Cobertura - telha translucida fibra de vidro;M2;60,64
001.08.02.15;71363;Cobertura em policarbonato fumê - Incl. estr. metálica;M2;325
001.08.02.16;71364;Cobertura em policarbonato Incolor- Incl. estr. metálica;M2;288
001.08.02.17;71497;Cobertura -Telha termoacústica;M2;105,78
001.08.03;;--> CALHAS / CUMEEIRAS:;;
001.08.03.01;70277;Calha em chapa galvanizada;M;39,1
001.08.03.02;70316;Calha em PVC (1/2 cana d= 100mm);M;36,71
001.08.03.03;70031;Cumeeira aluminio e = 0,8 mm;M;51,13
001.08.03.04;70712;Cumeeira asfaltica;M;27,24
001.08.03.05;70287;Cumeeira de barro;M;18,02
001.08.03.06;71466;Cumeeira em aço galvanizado;M;32,98
001.08.03.07;70029;Cumeeira em fibrocimento e=6mm;M;40,03
001.08.03.08;70059;Cumeeira plana fibrotex e=4mm;M;12,58
001.08.03.09;70241;Encaliçamento de telha ceramica (beiral e cumieira);M;7,81
001.08.03.10;70294;Rincão em chapa galvanizada - l=1,0m;M;24,16
001.09;;IMPERMEABILIZAÇÕES /TRATAMENTOS:;;
001.09.01;80676;Aplicação de Carbolástico sobre concreto (2 demãos);M2;18,72
001.09.02;80314;Aplicação de Igol A sobre conc./alv. (3 demãos);M2;18,19
001.09.03;80200;Aplicação de Neutrol s/ concreto/alvenaria;M2;18,41
001.09.04;80678;Aplicação de Sika Top - 107 sobre concreto/alvenaria/ferragem;M2;42,57
001.09.05;80028;Descupinização;M2;5,65
001.09.06;80313;Impermeabilização com Vedacit (normal);M2;11,64
001.09.07;80152;Impermeabilização de jardineiras (Igol 2 + Sika 1);M2;47,26
001.09.08;80270;Impermeabilização de lajes (cimento + areia);M2;30,93
001.09.09;80151;Impermeabilização de lajes e calhas (Igolflex+Sika1);M2;76,9
001.09.10;80272;Impermeabilização de reservatorios (Igol A + Sika 1);M2;57,03
001.09.11;80293;Impermeabilização para baldrame(Igol 2 + Sika 1);M2;41,01
001.09.12;80153;Impermeabilização rebaixos banho./coz.(tinta asfaltica);M2;33,58
001.09.13;80300;Imunização p/madeira c/carbolineum;M2;4,41
001.09.14;81365;Junta de dilatação Fungenband - 12mm;M;39,89
001.09.15;81366;Junta de dilatação Fungenband - 20mm;M;39,89
001.09.16;80702;Manta asfáltica c/ filme de aluminio;M2;51,44
001.09.17;80704;Manta asfáltica SBS-3mm c/ filme de polietileno;M2;44,42
001.09.18;80703;Manta asfáltica SBS-4mm c/ filme de polietileno;M2;47,96
001.09.19;80782;Manta para sub cobertura e= 2mm;M2;22,28
001.09.20;80783;Manta para sub cobertura e= 5mm;M2;27,34
001.09.21;80784;Manta para sub cobertura e=10mm;M2;36,14
001.09.22;80273;Reboco impermeabilizante (c/ Sika 1);M2;28,73
001.10;;ESQUADRIAS:;;
001.10.01;;--> MADEIRA:;;
001.10.01.01;90805;Alizar em madeira de lei;M;13,14
001.10.01.02;90809;Caixilho em madeira de lei;M2;229,52
001.10.01.03;90065;Esquadria mad. e=3cm c/ caix. aduela e alizar;M2;480,31
001.10.01.04;90064;Esquadria mad. e=3cm c/ caixilho;M2;322,22
001.10.01.05;90524;Esquadria mad. venez. fixa c/ caix. simples;M2;354,22
001.10.01.06;90526;Esquadria mad. venez. fixa c/ caix. simples e alizar;M2;423,38
001.10.01.07;90525;Esquadria mad. venez. fixa c/caix. aduela e alizar;M2;497,31
001.10.01.08;90066;Esquadria mad. venez. moveis c/ caix. aduela e alizar;M2;587,31
001.10.01.09;90303;Esquadria mad. venez. moveis c/caix. simples;M2;437,29
001.10.01.10;90067;Esquadria. mad. venez. moveis c/ caix. simples e alizar;M2;509,22
001.10.01.11;90642;Janela em madeira lambrizada;M2;387,02
001.10.01.12;90201;Janela mad. tipo basculante c/ caix. simples;M2;258,68
001.10.01.13;90527;Janela mad. tipo de correr c/ caix. simples;M2;374,22
001.10.01.14;90641;Porta em madeira lambrizada;M2;352,62
001.10.01.15;90062;Porta mad. compens. c/ caix. aduela e alizar;M2;397,31
001.10.01.16;90304;Porta mad. compens. c/ caix. simples;M2;247,29
001.10.01.17;90061;Porta mad. compens. c/caix. simples e alizar;M2;293,22
001.10.01.18;90482;Porta mad. compens. revest. formica c/ caix. simples;M2;343,02
001.10.01.19;90242;Porta mad. de lei miolo lençol de chumbo;M2;866,81
001.10.01.20;90063;Porta mad. trabalhada c/ caix. aduela e alizar;M2;697,31
001.10.01.21;91505;Porta miolo madeira, acabamento em MDF c/ ferragens de abrir;M2;264,64
001.10.01.22;91506;Porta miolo madeira, acabamento em MDF c/ ferragens de correr;M2;209,08
001.10.02;;--> FERRO:;;
001.10.02.01;90069;Esquadria de ferro tipo basculante (incl. pint. anti-corrosiva);M2;240,92
001.10.02.02;90071;"Grade de ferro 1/2"" (incl. pint. anti-corrosiva)";M2;184,68
001.10.02.03;90621;"Grade de ferro 3/4"" (incl. pint. anti-corrosiva)";M2;344,68
001.10.02.04;90400;"Grade de ferro 5/8"" (incl. pint. anti-corrosiva)";M2;289,68
001.10.02.05;90619;"Grade de ferro 7/8"" (incl. pint. anti-corrosiva)";M2;364,68
001.10.02.06;90613;"Grade de ferro 7/8"" sec. quadrada espaçamento=10cm(incl. pint. anti-corrosiva)";M2;464
001.10.02.07;90825;Grade de ferro em metalom  (incl. pint.anti-corrosiva);M2;239,68
001.10.02.08;90402;Grade sanfonada (incl. pint. anti-corrosiva);M2;246,68
001.10.02.09;90070;Porta de aço-esteira de enrolar c/ferr.(incl.pint.anti-corrosiva);M2;331,92
001.10.02.10;90068;"Portão de ferro 1/2"" c/ ferragens (incl. pint. anti-corrosiva)";M2;201,67
001.10.02.11;90622;"Portão de ferro 3/4"" c/ ferragens (incl. pint. anti-corrosiva)";M2;351,67
001.10.02.12;90399;"Portão de ferro 5/8"" c/ ferragens (incl. pint. anti-corrosiva)";M2;351,67
001.10.02.13;90620;"Portão de ferro 7/8"" c/ ferragens (incl. pint. anti-corrosiva)";M2;381,67
001.10.02.14;90822;Portão de ferro em metalom (incl. pintura anti corrosiva);M2;264
001.10.02.15;91500;"Portão em grade c/ chapa de ferro 3/16"" - incl. ferragens e pintura antiferruginosa";M2;556,67
001.10.02.16;90623;Portão tubo/tela arame galv.c/ferragens(incl.pint.anti-corrosiva);M2;421,67
001.10.03;;--> OUTROS MATERIAIS:;;
001.10.03.01;91515;Esquadria basculante em vidro temperado de 10mm;M2;449,59
001.10.03.02;91517;Esquadria basculante em vidro temperado de 6mm;M2;306,89
001.10.03.03;91516;Esquadria basculante em vidro temperado de 8mm;M2;383,44
001.10.03.04;91381;Esquadria c/ venezianas de aluminio  anodizado preto c/ ferragens;M2;541,84
001.10.03.05;91380;Esquadria c/ venezianas de aluminio  natural c/ ferragens;M2;481,84
001.10.03.06;91376;Esquadria de alum.de correr c/ vidro e ferragens;M2;426,09
001.10.03.07;91383;Esquadria de alumínio anodizado preto basculante c/ vidro e ferragens;M2;506,09
001.10.03.08;91382;Esquadria de alumínio anodizado preto de correr c/ ferragens;M2;456,09
001.10.03.09;91375;Esquadria de alumínio basculante c/vidro e ferragens;M2;481,09
001.10.03.10;91514;Esquadria de correr em vidro temperado de 10mm;M2;433,59
001.10.03.11;91511;Esquadria de correr em vidro temperado de 6mm;M2;323,34
001.10.03.12;91512;Esquadria de correr em vidro temperado de 8mm;M2;362,19
001.10.03.13;91513;Painel fixo em vidro temperado de 10mm;M2;414,59
001.10.03.14;91509;Painel fixo em vidro temperado de 6mm;M2;304,34
001.10.03.15;91510;Painel fixo em vidro temperado de 8mm;M2;343,19
001.10.03.16;91518;Pele de vidro ( Painel fixo);M2;927,93
001.10.03.17;91519;Pele de vidro (painel móvel);M2;1020,43
001.10.03.18;91377;Porta divilux 0.80x2.10m c/ferragens - c/ perfil de aluminio;UN;324,54
001.10.03.19;91378;Porta divisória Naval c/ ferragens - c/ perfil de aço;M2;265,81
001.10.03.20;91508;Porta em MDF revestida com laminado, com caixilho,alizar e ferragens de 0,8x2,10m;UN;760,05
001.10.03.21;90833;Porta em PVC 0.60 X 2.10 M;UN;133,87
001.10.03.22;90834;Porta em PVC 0.70 X 2.10 M;UN;143,87
001.10.03.23;91379;Porta em vidro temperado c/ ferragens -(sem mola);M2;469,54
001.10.03.24;91464;Portas em MDF (sob bancadas);M2;201,94
001.10.03.25;91507;Revestimento em Laminado melaminico (para Esquadria em MDF);M2;50,18
001.11;;VIDROS;;
001.11.01;161390;Vidro aramado;M2;243,87
001.11.02;161385;Vidro canelado e=3mm;M2;79,16
001.11.03;160202;Vidro fume e=4mm;M2;118,63
001.11.04;161384;Vidro laminex e=6mm;M2;627,16
001.11.05;160155;Vidro liso e=4mm;M2;96,41
001.11.06;160156;Vidro liso e=6mm;M2;143,66
001.11.07;160157;Vidro martelado e=4mm;M2;85,91
001.11.08;161389;Vidro temperado fume e= 6mm com ferragens;M2;177,87
001.11.09;161387;Vidro temperado fumê e= 8mm com ferragens;M2;215,87
001.11.10;161386;Vidro temperado fumê e=10mm com ferragens;M2;308,87
001.11.11;161394;Vidro temperado fumê e=12mm com ferragens;M2;358,87
001.11.12;161391;Vidro temperado incolor e= 6mm com ferragens;M2;173,87
001.11.13;161392;Vidro temperado incolor e= 8mm com ferragens;M2;210,87
001.11.14;161388;Vidro temperado incolor e=10mm com ferragens;M2;278,87
001.11.15;161393;Vidro temperado incolor e=12mm com ferragens;M2;358,87
001.12;;FERRAGENS:;;
001.12.01;;--> P/ PORTAS:;;
001.12.01.01;100816;Fechadura para porta de banheiro;UN;60,05
001.12.01.02;100817;Fechadura para porta externa;UN;75,05
001.12.01.03;100818;Fechadura para porta interna;UN;61,45
001.12.01.04;100819;Fecho para janelas de correr (bico de papagaio);UN;19,77
001.12.01.05;100228;Ferragens p/ porta de banheiro;CJ;110,49
001.12.01.06;100226;Ferragens p/ porta externa 1 fl.;CJ;132,42
001.12.01.07;100406;Ferragens p/ porta externa 2 fls. (c/ ferrolho);CJ;212,74
001.12.01.08;100227;Ferragens p/ porta interna 1 fl.;CJ;111,89
001.12.01.09;100405;Ferragens p/ porta interna 2 fls. (c/ ferrolho);CJ;224,09
001.12.01.10;100821;Ferrolho para porta e janela (média);UN;20,77
001.12.01.11;101274;Mola hidráulica para porta;UN;181,94
001.12.01.12;101273;Mola p/ porta de vidro;UN;533,87
001.12.01.13;101270;Puxador em alumínio - 30cm;UN;196,94
001.12.01.14;101271;Puxador em alumínio - 50cm;UN;256,94
001.12.01.15;101272;Puxador em alumínio - 80cm;UN;296,14
001.12.02;;--> P/ JANELAS:;;
001.12.02.01;100403;Ferragens p/ janela 1 fl. (c/ cremone);CJ;58,03
001.12.02.02;100288;Ferragens p/ janela 1 fl. (c/ ferrolho);CJ;65,27
001.12.02.03;100289;Ferragens p/ janela 2 fl. (c/ ferrolho);CJ;94,45
